id;order_id;customer_name;customer_phone;customer_email;customer_address;products;total_amount;payment_status;payment_verified;payment_verified_at;order_status;invoice_number;invoice_url;invoice_generated_at;gst_number;notes;synced_from_sheets;sheets_row_id;created_at;updated_at
dd4672aa-8454-4196-9356-cf1942cd500a;ORD-2024-003;Mohammed Ali;9876543212;mali@email.com;78 Anna Salai, Chennai;"[{""name"":""Mega Combo Pack"",""price"":5000,""quantity"":1}]";5000.00;unpaid;false;;pending;;;;;Waiting for payment confirmation;true;;2026-02-06 09:57:22.040819+00;2026-02-06 09:57:22.040819+00
09e76cda-d2fc-4fc8-a990-e9088634af56;ORD-2024-004;Lakshmi Devi;9876543213;lakshmi.d@email.com;12 Temple Street, Madurai;"[{""name"":""Kids Special Pack"",""price"":800,""quantity"":2},{""name"":""Sparklers Pack (50pc)"",""price"":250,""quantity"":3}]";2350.00;partial;false;;pending;;;;GST987654321;Paid 1000 advance;true;;2026-02-06 09:57:22.040819+00;2026-02-06 09:57:22.040819+00
b525f8ec-b8ac-4812-90b1-8f6d0a43561a;ORD-2024-006;Sunita Patel;9876543215;sunita.p@email.com;89 SG Highway, Ahmedabad;"[{""name"":""Family Pack Medium"",""price"":3500,""quantity"":1}]";3500.00;unpaid;false;;pending;;;;;;true;;2026-02-06 09:57:22.040819+00;2026-02-06 09:57:22.040819+00
821f9497-17a7-407f-a3c9-ee882d8dee88;ORD-2024-008;Anjali Singh;9876543217;anjali.s@email.com;67 Civil Lines, Nagpur;"[{""name"":""Ground Chakkar (10pc)"",""price"":150,""quantity"":20},{""name"":""Flower Pot Small"",""price"":200,""quantity"":15}]";6000.00;partial;false;;pending;;;;;Half payment done;true;;2026-02-06 09:57:22.040819+00;2026-02-06 09:57:22.040819+00
555375b1-7675-4fe4-bb70-b43c93a78ce6;ORD-2024-010;Meera Krishnan;9876543219;meera.k@email.com;23 Brigade Road, Bangalore;"[{""name"":""Sparklers Pack (50pc)"",""price"":250,""quantity"":10}]";2500.00;unpaid;false;;pending;;;;;New customer;true;;2026-02-06 09:57:22.040819+00;2026-02-06 09:57:22.040819+00
6515648f-e522-47e6-946b-a622ab6d057c;ORD-2024-002;Priya Sharma;9876543211;priya.s@email.com;45 MG Road, Bangalore;"[{""name"":""Flower Pot Large"",""price"":450,""quantity"":3},{""name"":""Rocket Pack (20pc)"",""price"":600,""quantity"":2}]";2550.00;unpaid;false;;processing;;;;;;true;;2026-02-06 09:57:22.040819+00;2026-02-06 10:05:16.239474+00
fcf81d26-6625-4f6b-843f-daa3914aa15f;ORD-2024-001;Rajesh Kumar;9876543210;rajesh@email.com;123 Gandhi Nagar, Chennai;"[{""name"":""Sparklers Pack (50pc)"",""price"":250,""quantity"":5},{""name"":""Ground Chakkar (10pc)"",""price"":150,""quantity"":10}]";2750.00;unpaid;false;;completed;;;;GST123456789;Repeat customer;true;;2026-02-06 09:57:22.040819+00;2026-02-06 10:03:00.445774+00
e281ffd4-ece4-444f-8dec-7848c75b3bd5;ORD-2024-009;Venkatesh Iyer;9876543218;venkat.i@email.com;90 Marina Beach Road, Chennai;"[{""name"":""Mega Combo Pack"",""price"":5000,""quantity"":2},{""name"":""Kids Special Pack"",""price"":800,""quantity"":1}]";10800.00;unpaid;false;;completed;;;;GST321654987;Society order;true;;2026-02-06 09:57:22.040819+00;2026-02-06 10:03:09.30632+00
6443dfdf-b1af-4a53-8f30-8ef8c72dcd39;ORD-2024-012;Deepa Menon;9876543221;deepa.m@email.com;78 MG Road, Kochi;"[{""name"":""Family Pack Large"",""price"":6000,""quantity"":1},{""name"":""Fancy Aerials (10pc)"",""price"":2500,""quantity"":1}]";8500.00;paid;true;2026-02-06 10:03:24.938+00;pending;;;;;;true;;2026-02-06 09:57:22.040819+00;2026-02-06 10:03:27.062306+00
1fb1bc47-ecde-4c08-8d59-2e0d97bed8d5;ORD-2024-005;Arjun Reddy;9876543214;arjun.r@email.com;56 Jubilee Hills, Hyderabad;"[{""name"":""Premium Crackers Set"",""price"":15000,""quantity"":1},{""name"":""Fancy Aerials (10pc)"",""price"":2500,""quantity"":2}]";20000.00;paid;true;2026-02-06 10:03:47.707+00;processing;;;;GST456789123;Corporate order;true;;2026-02-06 09:57:22.040819+00;2026-02-06 10:03:49.762104+00
01d0f6da-eac9-44d6-8377-755d17c9b9c2;ORD-2024-007;Karthik Narayanan;9876543216;karthik.n@email.com;34 Race Course, Coimbatore;"[{""name"":""Diwali Special Combo"",""price"":4500,""quantity"":2}]";9000.00;paid;false;;processing;INV-2026-244360;;2026-02-06 10:04:04.361+00;GST789123456;Express delivery requested;true;;2026-02-06 09:57:22.040819+00;2026-02-06 10:04:06.435168+00
955c6bd2-9fe2-48d5-a522-4869be035d39;ORD-2024-011;Ramesh Gupta;9876543220;ramesh.g@email.com;45 Park Street, Kolkata;"[{""name"":""Premium Crackers Set"",""price"":15000,""quantity"":1}]";15000.00;paid;true;2026-02-06 10:05:19.554+00;processing;;;;GST654987321;Bulk order;true;;2026-02-06 09:57:22.040819+00;2026-02-06 10:05:21.60895+00
